id,year,month,yucho_asset,rakuten_asset,jre_asset,bank_total,investment_asset,profit_loss,total_money
9,2019,10,871260,610000,0,1481260,0,0,1481260
10,2019,11,835822,784695,0,1620517,0,0,1620517
11,2019,12,1318391,784695,0,2103086,0,0,2103086
12,2020,1,593088,1140057,0,1733145,0,0,1733145
13,2020,2,634020,603573,0,1237593,28922,-1078,1266515
14,2020,3,568490,338180,0,906670,441358,984,1348028
15,2020,4,423406,364993,0,788399,727645,51006,1516044
16,2020,5,276363,254385,0,530748,1115333,159929,1646081
17,2020,6,882891,276328,0,1159219,1279740,89621,2438959
18,2020,7,403015,379139,0,782154,1382974,-44460,2165128
19,2020,8,443907,212428,0,656335,1734165,206731,2390500
20,2020,9,238016,193041,0,431057,1927793,160744,2358850
21,2020,10,205738,201907,0,407645,1826322,59273,2233967
22,2020,11,89556,195995,0,285551,2111785,294736,2397336
23,2020,12,527161,263185,0,790346,2084690,217641,2875036
24,2021,1,569719,452999,0,1022718,2446176,298152,3468894
25,2021,2,59111,139837,0,198948,3589707,660448,3788655
26,2021,3,53319,148281,0,201600,3605656,626397,3807256
27,2021,4,197742,392909,0,590651,4690910,706971,5281561
28,2021,5,355731,236186,0,591917,4769816,736877,5361733
29,2021,6,727665,275643,0,1003308,4966693,883754,5970001
30,2021,7,278598,641317,0,919915,6140960,645895,7060875
31,2021,8,200008,689897,0,889905,6234256,689193,7124161
32,2021,9,44163,75055,0,119218,6941910,808311,7061128
33,2021,10,39795,57514,0,97309,6514845,491262,6612154
34,2021,11,45867,49392,0,95259,6255393,368107,6350652
35,2021,12,167442,497238,0,664680,6437949,475446,7102629
36,2022,1,109084,393448,0,502532,7238741,96883,7741273
37,2022,2,191799,230462,0,422261,7347437,115579,7769698
38,2022,3,92132,205391,0,297523,7839156,517298,8136679
39,2022,4,11741,69802,0,81543,7291002,113084,7372545
40,2022,5,85731,295261,0,380992,7252572,24654,7633564
41,2022,6,665641,87705,0,753346,7353028,-68517,8106374
42,2022,7,297612,379441,0,677053,7721996,252080,8399049
43,2022,8,256316,357326,0,613642,8067549,507633,8681191
44,2022,9,202608,365286,0,567894,7895660,207713,8463554
45,2022,10,56185,387693,0,443878,8288365,548447,8732243
46,2022,11,223316,111519,0,334835,8646709,595578,8981544
47,2022,12,354857,609004,0,963861,8243211,192079,9207072
48,2023,2,136137,541223,0,677360,8913503,475057,9590863
49,2023,3,61323,595454,0,656777,9028841,500395,9685618
50,2023,5,191128,87188,0,278316,9801442,1092997,10079758
51,2023,9,508113,2046612,0,2554725,10863672,1650043,13418397
52,2023,10,675128,1758720,0,2433848,10748940,1505369,13182788
53,2023,11,629114,1731834,0,2360948,10885284,1448160,13246232
54,2023,12,1791407,1756525,0,3547932,11639598,1606577,15187530
55,2024,1,2069698,1505864,0,3575562,11979221,1913178,15554783
56,2024,2,475785,246690,0,722475,12916669,2735308,13639144
57,2024,3,171546,88433,0,259979,13300387,2999247,13560366
58,2024,4,30944,40831,0,71775,13094618,2688831,13166393
59,2024,5,64335,90143,0,154478,13196936,2775663,13351414
60,2024,6,866889,125830,200000,1192719,13556965,2971534,14749684
61,2024,7,243936,294144,302065,840145,13369853,2734999,14209998
62,2024,8,1532489,482179,654065,2668733,13317752,2469554,15986485
63,2024,9,520038,456338,804065,1780441,13851716,3005843,15632157
64,2024,10,274458,247183,636767,1158408,14014680,3061510,15173088
65,2024,11,541542,191446,296767,1029755,13753260,2665111,14783015
